,open,high,low,close,volume
2023-01-01 00:00:00,16518.50746516066,16539.034598839306,16491.29187454049,16510.57173719445,663.7799149668086
2023-01-01 00:15:00,16501.453055452934,16563.66952224133,16443.92871513718,16506.795016580978,836.6976177251877
2023-01-01 00:30:00,16504.345466767645,16525.17448692605,16469.04452075352,16492.961208079614,868.094614152014
2023-01-01 00:45:00,16489.388683809808,16519.653731475977,16461.96130029942,16497.512085658134,587.4236765284091
2023-01-01 01:00:00,16502.523393282514,16515.60581037687,16448.671771532234,16497.038957630124,1468.6744937243495
2023-01-01 01:15:00,16502.475089282194,16539.945960428315,16455.817095599945,16481.14514500966,564.7220869421117
2023-01-01 01:30:00,16480.48421170093,16536.334527662584,16475.182745786435,16521.610318553223,1998.6421836435895
2023-01-01 01:45:00,16524.57521104856,16584.750307937076,16503.75813376335,16544.091840898356,1403.836339960263
2023-01-01 02:00:00,16537.787905875826,16613.331299238507,16531.626662365346,16546.61131307826,665.8401874828126
2023-01-01 02:15:00,16546.833137667065,16546.833137667065,16454.033512178103,16501.234761206837,1136.9836802580849
2023-01-01 02:30:00,16503.041990551188,16503.041990551188,16414.813697262107,16486.2979285009,594.9732768957501
2023-01-01 02:45:00,16489.369168676916,16495.10773179675,16465.640707344737,16482.50900377388,1469.2961284489731
2023-01-01 03:00:00,16483.90978256027,16537.74710907438,16420.363341574477,16468.19713907968,767.5826892565253
2023-01-01 03:15:00,16467.689724210315,16506.751951040238,16441.469045216614,16462.92118463489,733.4935679572482
2023-01-01 03:30:00,16458.199841843354,16505.827957782207,16419.919927842064,16448.717171418415,722.607082867149
2023-01-01 03:45:00,16451.63290740661,16501.32868987303,16417.99972618994,16442.034887527905,1307.8764780681229
2023-01-01 04:00:00,16447.252849999928,16472.114819893774,16416.902152502284,16436.82001982004,769.232752395231
2023-01-01 04:15:00,16427.85759703363,16456.836369324206,16359.649686681138,16436.391763043375,541.8253912285721
2023-01-01 04:30:00,16424.727120002277,16478.274639932544,16403.260638919775,16417.02520958185,868.2164282276372
2023-01-01 04:45:00,16411.48683776328,16445.803713877936,16407.30335415702,16422.525460392513,944.904144161249
2023-01-01 05:00:00,16436.81876781635,16457.777104875677,16385.37246170872,16408.29371656599,600.0841942662174
2023-01-01 05:15:00,16409.479884786786,16418.18938688677,16360.194291411904,16387.16204832611,627.9629745025885
2023-01-01 05:30:00,16384.475126267014,16384.475126267014,16335.721667002024,16367.863291368922,575.1582963066819
2023-01-01 05:45:00,16367.90453853091,16378.595958450633,16343.308773729823,16365.88707892242,1197.6242174877311
2023-01-01 06:00:00,16357.306268810202,16408.869012097537,16357.306268810202,16376.383876479962,832.0956162690862
2023-01-01 06:15:00,16377.913548544682,16414.1124458808,16333.750538568482,16374.749704925403,1642.9383680020171
2023-01-01 06:30:00,16372.030887158466,16421.02694753293,16372.030887158466,16387.163831273978,573.0944770279133
2023-01-01 06:45:00,16383.006956884352,16449.601110499203,16375.735278070766,16399.141255370974,1168.88132318103
2023-01-01 07:00:00,16410.887205735242,16451.0351842807,16406.337133608675,16419.74414742033,666.5567096173945
2023-01-01 07:15:00,16422.441484075174,16447.122892031868,16383.887134408917,16427.276342487043,694.1550534895456
2023-01-01 07:30:00,16435.022605733768,16435.022605733768,16366.784955312381,16420.069282660388,743.1652099775257
2023-01-01 07:45:00,16418.46393614848,16456.03431697667,16416.969488327395,16434.815150355145,578.3754512620659
2023-01-01 08:00:00,16442.307451122637,16447.35818919807,16415.68663855391,16426.9712189416,743.7113028952183
2023-01-01 08:15:00,16419.104105128336,16474.968200798885,16389.446828450873,16405.556060052946,916.0164401131156
2023-01-01 08:30:00,16404.257429911882,16460.064893897335,16365.648642276368,16437.592257905355,914.9174568281977
2023-01-01 08:45:00,16428.5376250019,16475.974187572527,16428.5376250019,16451.842763382614,783.3327753826762
2023-01-01 09:00:00,16446.384337162803,16490.932947136593,16413.37591443488,16476.54075247829,1319.344275947292
2023-01-01 09:15:00,16478.76788672289,16517.230987316463,16426.324411922556,16468.113161672587,1429.8065736050303
2023-01-01 09:30:00,16469.06192770829,16479.25397838537,16428.880639580213,16452.36930709911,671.3365671807006
2023-01-01 09:45:00,16448.01110064105,16476.617123237516,16426.305500414885,16463.136000533646,563.3089451621028
2023-01-01 10:00:00,16464.955757811265,16496.55423667981,16431.675483473802,16473.008160911268,558.1438348376886
2023-01-01 10:15:00,16474.99118808035,16476.113509679286,16438.60395067759,16462.02855896095,1065.4596867342982
2023-01-01 10:30:00,16457.666575233074,16484.056239946847,16432.37849754433,16458.617708287406,889.0674407716921
2023-01-01 10:45:00,16462.697389846267,16526.72230303798,16460.334836796374,16474.603768998022,1510.6825588134677
2023-01-01 11:00:00,16478.960935033036,16479.894690704543,16442.653316603835,16459.52452672026,1265.4619256238025
2023-01-01 11:15:00,16464.873894376393,16468.45023241371,16400.995334505766,16434.112440267643,1097.190715742328
2023-01-01 11:30:00,16423.551809841978,16450.79325301503,16368.196126465376,16440.191254072754,1858.1495663447274
2023-01-01 11:45:00,16440.628478613144,16440.88336153478,16378.07191914539,16422.693634140076,722.9651897552525
2023-01-01 12:00:00,16420.022551714315,16471.347993368974,16418.968085335895,16429.214308184964,1479.8409810798294
2023-01-01 12:15:00,16431.196536804484,16510.984664471758,16419.1956860919,16436.98705093971,572.6022963056777
2023-01-01 12:30:00,16435.947958019315,16448.789896924198,16344.513518883487,16404.27579432827,1675.9652988086402
2023-01-01 12:45:00,16398.314181559548,16429.713039157316,16341.952230647703,16405.301501981565,617.1266152358218
2023-01-01 13:00:00,16395.155683218516,16476.05493099793,16390.273159058383,16441.79877184702,799.7792970017135
2023-01-01 13:15:00,16445.98804639005,16489.411744801953,16386.15354753163,16404.65717020562,1233.5308292938003
2023-01-01 13:30:00,16408.697049877894,16445.06818724056,16359.626291257435,16425.063673191617,811.0608229001929
2023-01-01 13:45:00,16424.335840145282,16424.335840145282,16349.253432552805,16402.769227383887,1553.280697152867
2023-01-01 14:00:00,16403.659184502874,16425.83480391094,16380.452847567232,16391.40031477808,1227.887605616438
